75
200.000	0.00000
210.000	0.00001
215.000	0.00002
215.025	1823.59998
215.050	3647.19995
215.075	5470.79980
215.100	7294.39990
215.114	8738.79980
215.128	10183.20020
215.142	11627.59961
215.155	13072.00000
215.169	14572.00000
215.183	16072.00000
215.197	17572.00000
215.211	19072.00000
215.225	20318.00000
215.238	21564.00000
215.252	22810.00000
215.266	24056.00000
215.280	25210.00000
215.294	26364.00000
215.308	27518.00000
215.322	28672.00000
215.335	29942.00000
215.349	31212.00000
215.363	32482.00000
215.377	33752.00000
215.391	34794.00000
215.405	35836.00000
215.418	36878.00000
215.432	37920.00000
215.446	39066.00000
215.460	40212.00000
215.474	41358.00000
215.488	42504.00000
215.502	43630.00000
215.515	44756.00000
215.529	45882.00000
215.543	47008.00000
215.557	48294.00000
215.571	49580.00000
215.585	50866.00000
215.598	52152.00000
215.612	53278.00000
215.626	54404.00000
215.640	55530.00000
215.654	56656.00000
215.668	57862.00000
215.682	59068.00000
215.695	60274.00000
215.709	61480.00000
215.723	62660.00000
215.737	63840.00000
215.751	65020.00000
215.765	66200.00000
215.778	67284.00000
215.792	68368.00000
215.806	69452.00000
215.820	70536.00000
215.834	71694.00000
215.848	72852.00000
215.862	74010.00000
215.875	75168.00000
215.889	76142.00000
215.903	77116.00000
215.917	78090.00000
215.931	79064.00000
215.945	86502.00000
215.958	93940.00000
215.972	101378.00000
215.986	108816.00000
216.000	121152.00000
217.000	134328.00000
218.000	148200.00000
219.000	162352.00000
