215.025	1823.6
215.050	3647.2
215.075	5470.8
215.100	7294.4
215.114	8738.8
215.128	10183.2
215.142	11627.6
215.155	13072
215.169	14572
215.183	16072
215.197	17572
215.211	19072
215.225	20318
215.238	21564
215.252	22810
215.266	24056
215.280	25210
215.294	26364
215.308	27518
215.322	28672
215.335	29942
215.349	31212
215.363	32482
215.377	33752
215.391	34794
215.405	35836
215.418	36878
215.432	37920
215.446	39066
215.460	40212
215.474	41358
215.488	42504
215.502	43630
215.515	44756
215.529	45882
215.543	47008
215.557	48294
215.571	49580
215.585	50866
215.598	52152
215.612	53278
215.626	54404
215.640	55530
215.654	56656
215.668	57862
215.682	59068
215.695	60274
215.709	61480
215.723	62660
215.737	63840
215.751	65020
215.765	66200
215.778	67284
215.792	68368
215.806	69452
215.820	70536
215.834	71694
215.848	72852
215.862	74010
215.875	75168
215.889	76142
215.903	77116
215.917	78090
215.931	79064
215.945	86502
215.958	93940
215.972	101378
215.986	108816
216.000	121152
217.000	134328
218.000	148200
219.000	162352
220.000	175336
